observation_date,GDPC1,GDPGROWTH
1948-01-01,2020,0.0398514851
1949-01-01,2009,-0.0054753609
1950-01-01,2184,0.0801282051
1951-01-01,2360,0.0745762712
1952-01-01,2456.1,0.0391270714
1953-01-01,2571.4,0.0448393871
1954-01-01,2556.9,-0.0056709296
1955-01-01,2739.1,0.0665181994
1956-01-01,2797.4,0.0208407807
1957-01-01,2856.3,0.0206210832
1958-01-01,2835.4,-0.007371094
1959-01-01,3031,0.0645331574
1960-01-01,3108.7,0.0249943706
1961-01-01,3188.1,0.0249051159
1962-01-01,3383.1,0.0576394431
1963-01-01,3530.4,0.0417233175
1964-01-01,3734.1,0.0545512975
1965-01-01,3976.7,0.0610053562
1966-01-01,4239,0.0618778014
1967-01-01,4355.2,0.0266807494
1968-01-01,4569,0.0467936091
1969-01-01,4712.5,0.0304509284
1970-01-01,4722,0.0020118594
1971-01-01,4877.6,0.0319009349
1972-01-01,5134.3,0.0499970785
1973-01-01,5424.1,0.0534282185
1974-01-01,5396.1,-0.0051889327
1975-01-01,5385.4,-0.0019868533
1976-01-01,5675.5,0.0511144393
1977-01-01,5937,0.0440458144
1978-01-01,6267.2,0.0526870054
1979-01-01,6466.2,0.0307754168
1980-01-01,6450.4,-0.0024494605
1981-01-01,6617.8,0.0252954154
1982-01-01,6491.3,-0.0194876219
1983-01-01,6792,0.0442726737
1984-01-01,7285,0.0676733013
1985-01-01,7593.8,0.0406647528
1986-01-01,7860.5,0.0339291394
1987-01-01,8132.6,0.0334579347
1988-01-01,8474.5,0.0403445631
1989-01-01,8786.4,0.0354980424
1990-01-01,8955,0.0188274707
1991-01-01,8948.4,-0.000737562
1992-01-01,9266.6,0.0343383765
1993-01-01,9521,0.0267198824
1994-01-01,9905.5,0.0388168189
1995-01-01,10174.8,0.0264673507
1996-01-01,10561,0.0365685068
1997-01-01,11034.9,0.0429455636
1998-01-01,11525.9,0.0425997102
1999-01-01,12065.9,0.0447542247
2000-01-01,12559.7,0.0393162257
2001-01-01,12682.3,0.0096670162
2002-01-01,12908.8,0.0175461701
2003-01-01,13271.1,0.0272999224
2004-01-01,13773.5,0.0364758413
2005-01-01,14234.3,0.0323725087
2006-01-01,14613.8,0.025968605
2007-01-01,14873.8,0.0174804018
2008-01-01,14830.4,-0.0029264214
2009-01-01,14418.8,-0.0285460649
2010-01-01,14783.8,0.0246891868
2011-01-01,15020.6,0.015765016
2012-01-01,15354.6,0.021752439
2013-01-01,15583.3,0.0146759672
2014-01-01,15961.7,0.023706748
2015-01-01,16348.9,0.0236835506
